algorithm,k,silhouette,davies_bouldin,calinski_harabasz,ari,nmi
KMeans,2,0.4291259562491305,7.158649885342523,169.21807257193979,0.0007185356501596371,0.09900410888073394
Agglomerative_Ward,2,0.2525323089060054,6.898524514849774,142.31726535456355,0.0014518729037012986,0.11287174149901118
KMeans,3,0.42842975081426976,4.83169458565932,112.91609075461211,0.0007204017442195792,0.09918805484089022
Agglomerative_Ward,3,0.2524758321244594,4.629926597983352,135.7691455175973,0.0014521924593697963,0.11298561122773013
KMeans,4,0.813950471696339,3.1486416774018995,95.08404944002702,1.8209555257310848e-05,0.006981646086835369
Agglomerative_Ward,4,0.2523317832567138,3.864401953182808,130.10624318645114,0.0014529628022487587,0.11325281528115633
KMeans,5,0.42840718190063803,2.98778194951342,91.57485621298241,0.0007199168553070821,0.09935159988722378
Agglomerative_Ward,5,0.2523686122881675,2.81812872027083,126.05965960194816,0.0014529300410191205,0.11325157978811679
KMeans,6,0.42716235872479835,2.494138362797345,95.71422673631649,0.0007230191016896122,0.09958490601853984
Agglomerative_Ward,6,0.2523185306431447,2.3660125348792227,121.31732873241228,0.001453118281400953,0.11335025910533238
KMeans,7,0.42422618458595435,2.8241383276111027,96.17500079996579,0.0007330903257526172,0.10016958829622559
Agglomerative_Ward,7,0.2521834687347382,2.432431146614832,118.05121958684661,0.0014538229690070534,0.11358728847634246
KMeans,8,0.40997774398634285,2.892763443721643,99.3662516340894,0.0008002975063999895,0.10390269557077042
Agglomerative_Ward,8,0.2521337567114093,2.198926820459862,115.45468034238849,0.0014541425119493866,0.1137010378324681
KMeans,9,0.35360748899838773,4.581992700873119,91.97554076707858,0.0009918659897907107,0.12102723505675059
Agglomerative_Ward,9,0.2521705263417221,1.612956944925479,113.28367271889137,0.001454109737988968,0.11369979782790147
KMeans,10,0.27988508323337136,2.8151536096200545,81.60885913189168,0.001112064915305791,0.1427079103996851
Agglomerative_Ward,10,0.2521224575760631,1.4632583944383286,111.13490530843606,0.0014544949590849178,0.11384356825395492
KMeans,11,0.2830239683866795,4.313320381134089,91.59504933774936,0.0010336824948616783,0.1599119977333841
Agglomerative_Ward,11,0.25207428841740126,1.3406024025595633,109.51599812297543,0.0014548801902317715,0.11398731426754652
KMeans,12,0.4246086670810078,1.6986310679998047,82.08729881232209,0.0007318174253837922,0.10037238579249837
Agglomerative_Ward,12,0.2520268192537176,1.2381973017467136,108.04318630947914,0.0014550026441263247,0.1140816511034963
KMeans,13,0.4133208782753181,1.2214487394062994,95.32915346391891,0.0008037514473839901,0.10310941004225342
Agglomerative_Ward,13,0.25176898018449545,1.7395254537737226,106.2777363679223,0.0014558531320591243,0.11444824935918252
KMeans,14,0.4099497188975278,2.0163505743111725,88.44747148053519,0.0007950852896098581,0.10409975608769323
Agglomerative_Ward,14,0.25176943205689517,1.5568394327780057,104.69643925038967,0.0014558533918203637,0.11448935535027753
KMeans,15,0.31747438380256887,1.853086068458034,88.70546560615145,0.0009912770888555052,0.13954932650168933
Agglomerative_Ward,15,0.2518071218699216,1.416614014089248,103.3714579108126,0.001455853456760679,0.11450990767373366
